
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6735.0  249.800 17.96    38.60 17.99           -0.04
 6740.0  245.300 17.81    37.45 17.51            0.30
 6745.0  239.300 17.36    40.10 17.81           -0.45
 6750.0  237.150 17.69    40.95 17.73           -0.04
 6755.0  233.050 17.61    41.80 17.65           -0.03
 6760.0  228.800 17.50    42.65 17.56           -0.06
 6765.0  222.600 17.01    43.50 17.47           -0.46
 6770.0  218.550 16.94    44.30 17.37           -0.43
 6775.0  216.700 17.29    45.25 17.29           -0.00
 6780.0  212.400 17.16    46.20 17.21           -0.05
 6785.0  206.250 16.68    47.10 17.12           -0.44
 6790.0  202.250 16.60    48.00 17.02           -0.42
 6795.0  198.100 16.49    46.90 16.55           -0.06
 6800.0  196.500 16.84    47.90 16.46            0.37
 6805.0  192.450 16.73    48.90 16.37            0.36
 6810.0  186.200 16.23    52.00 16.66           -0.42
 6815.0  184.750 16.58    50.95 16.19            0.39
 6820.0  178.350 16.06    52.05 16.11           -0.05
 6825.0  176.950 16.40    53.15 16.02            0.38
 6830.0  170.550 15.87    54.25 15.93           -0.05
 6835.0  169.250 16.22    57.55 16.21            0.01
 6840.0  165.400 16.12    56.55 15.74            0.38
 6845.0  161.650 16.03    57.75 15.65            0.38
 6850.0  157.750 15.92    58.95 15.56            0.36
 6855.0  151.600 15.42    60.15 15.46           -0.04
 6860.0  150.250 15.72    63.65 15.74           -0.02
 6865.0  146.700 15.65    64.95 15.64            0.01
 6870.0  142.950 15.54    64.05 15.18            0.36
 6875.0  136.900 15.05    67.65 15.45           -0.40
 6880.0  133.300 14.96    66.80 14.99           -0.04
 6885.0  132.150 15.25    70.45 15.26           -0.01
 6890.0  128.600 15.15    69.60 14.80            0.36
 6895.0  122.650 14.67    73.35 15.06           -0.39
 6900.0  121.650 14.96    74.90 14.97           -0.01
 6905.0  115.750 14.48    74.20 14.52           -0.04
 6910.0  112.350 14.38    75.75 14.42           -0.03
 6915.0  111.450 14.67    77.40 14.33            0.35
 6920.0  108.050 14.56    81.35 14.59           -0.02
 6925.0  102.400 14.10    80.70 14.12           -0.02
 6930.0   99.100 13.99    82.50 14.04           -0.04
 6935.0   98.350 14.28    84.25 13.94            0.34
 6940.0   95.150 14.18    88.35 14.19           -0.02
 6945.0   89.600 13.71    87.90 13.74           -0.03
 6950.0   86.450 13.60    89.80 13.64           -0.04
 6955.0   85.950 13.89    91.80 13.55            0.34
 6960.0   82.950 13.80    93.80 13.46            0.34
 6965.0   79.950 13.69    98.10 13.71           -0.02
 6970.0   74.600 13.21   100.20 13.61           -0.40
 6975.0   74.250 13.51   100.05 13.16            0.34
 6980.0   71.400 13.40   102.25 13.07            0.34
 6985.0   68.650 13.31   106.75 13.33           -0.02
 6990.0   65.950 13.21   109.05 13.23           -0.02
 6995.0   63.350 13.13   109.10 12.78            0.35
 7000.0   60.750 13.03   111.50 12.68            0.35
 7005.0   58.100 12.92   116.25 12.95           -0.03
 7010.0   53.250 12.44   116.50 12.50           -0.05
 7015.0   50.850 12.35   121.35 12.77           -0.42
 7020.0   50.950 12.66   121.75 12.32            0.34
 7025.0   48.650 12.57   124.45 12.22            0.34
 7030.0   46.400 12.48   127.15 12.12            0.35
 7035.0   41.850 11.99   130.15 12.06           -0.08
 7040.0   42.100 12.30   135.05 12.32           -0.02
 7045.0   39.950 12.20   137.85 12.21           -0.01
 7050.0   37.950 12.11   140.85 12.13           -0.01
 7055.0   33.850 11.64   144.50 12.15           -0.51
